STATCD,STATNAME,OVERALL_LI,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT
11,SIKKIM,82.2,559,307,80,0,5,124,4,1079,410,268,69,1,5,115,2,870,188,143,45,1,4,59,2,442,627,341,79,1,5,136,4,1193,704,344,77,1,7,136,3,1272,689,343,80,1,7,136,4,1260,485,319,80,1,6,131,4,1026,261,293,79,0,7,131,1,772,69,25,7,0,0,15,0,116,125,68,15,0,0,24,0,232,486,186,64,1,4,113,1,855,449,182,64,1,4,110,1,811,475,184,64,1,4,113,1,842
12,ARUNACHAL PRADESH,66.95,1357,913,61,35,49,196,35,2646,627,633,59,15,38,166,26,1564,985,794,56,30,42,174,27,2108,2231,1206,66,50,53,223,38,3867,2203,1183,66,2,51,219,26,3750,1745,1096,67,48,51,219,38,3264,450,589,60,40,45,175,29,1388,96,501,63,25,52,193,33,963,338,231,13,6,9,37,11,645,401,277,16,6,12,50,16,778,2037,956,36,15,40,150,25,3259,1195,668,33,8,22,119,16,2061,1959,929,36,15,38,150,23,3150
13,NAGALAND,80.11,982,643,103,32,40,349,149,2298,427,369,84,17,25,250,91,1263,793,518,99,21,33,311,121,1896,1263,786,105,38,45,379,179,2795,1248,773,102,38,46,374,179,2760,959,665,99,32,38,354,147,2294,251,471,104,23,40,333,115,1337,70,365,103,30,41,346,157,1112,278,229,5,19,7,27,28,593,334,261,10,19,11,43,41,719,1039,553,1,34,36,71,154,1888,869,497,1,30,32,67,137,1633,985,540,1,34,35,69,148,1812
14,MANIPUR,79.85,2314,787,100,60,22,657,144,4084,1267,558,87,38,15,514,123,2602,401,343,82,28,20,441,97,1412,2897,865,100,61,21,705,150,4799,2900,860,99,47,22,698,139,4765,2946,864,100,63,22,700,153,4848,246,466,100,27,21,587,115,1562,64,360,96,25,21,588,115,1269,1103,302,16,11,10,181,79,1702,1192,330,16,12,10,211,82,1853,2566,527,16,32,9,248,137,3535,1036,259,12,16,7,115,71,1516,2289,488,16,31,8,235,135,3202
15,MIZORAM,91.58,1473,379,0,1046,0,0,0,2898,977,210,0,784,0,0,0,1971,818,199,0,637,0,0,0,1654,1546,386,0,1116,0,0,0,3048,1521,377,0,1097,0,0,0,2995,1430,363,0,1055,0,0,0,2848,769,308,0,786,0,0,0,1863,133,189,0,588,0,0,0,910,443,20,0,415,0,0,0,878,552,120,0,530,0,0,0,1202,1317,1,0,1025,0,0,0,2343,1276,1,0,1000,0,0,0,2277,1300,1,0,1022,0,0,0,2323
16,TRIPURA,87.75,1931,998,332,1,65,561,10,3898,1334,832,290,1,60,478,7,3002,238,210,232,0,45,206,5,936,2559,1260,339,1,64,593,10,4826,2552,1260,335,1,60,592,6,4806,2196,1157,340,1,68,581,9,4352,327,175,336,1,67,451,9,1366,116,75,290,1,62,207,7,758,252,213,107,0,20,165,3,760,351,272,117,1,24,189,3,957,2252,1165,308,0,63,535,8,4331,1965,1097,299,0,57,519,8,3945,2204,1159,307,0,63,532,8,4273
17,MEGHALAYA,75.48,4986,143,29,2124,30,100,139,7551,2743,94,25,1332,25,70,103,4392,1304,94,29,640,20,79,88,2254,7869,134,27,3060,30,96,133,11349,8087,134,25,3080,28,99,128,11581,5819,112,29,2096,31,93,134,8314,1115,98,29,1215,28,93,127,2705,331,50,26,676,27,71,103,1284,1839,6,7,947,7,3,26,2835,2395,14,12,1149,10,14,38,3632,7841,20,2,3117,6,6,67,11059,6979,19,1,2559,5,5,59,9627,7686,20,1,3017,6,6,66,10802
18,ASSAM,73.18,39025,1862,223,9826,637,1563,1199,54335,25572,1136,191,7906,504,1034,828,37171,12343,1087,215,2459,542,1322,774,18742,41852,1725,235,8266,618,1534,1142,55372,41550,1703,221,7526,577,1476,876,53929,41077,1902,239,9819,673,1616,1242,56568,5027,1094,228,3456,642,1322,1081,12850,571,606,194,2064,567,895,834,5731,21175,662,42,3314,92,60,159,25504,22636,762,62,3826,159,199,324,27968,40209,953,2,10285,628,7,1100,53184,29765,707,2,4399,424,6,677,35980,39136,931,2,9925,620,7,1077,51698
19,WEST BENGAL,77.08,67607,1306,574,6366,5871,320,2647,84691,28263,696,393,3112,4337,233,1618,38652,29839,954,528,2061,5254,283,2043,40962,74961,1308,535,7286,5801,331,2718,92940,74438,1297,508,6756,5273,334,2191,90797,75495,1399,601,7172,6268,360,2912,94207,54594,1161,581,3845,6119,323,2724,69347,3597,598,455,738,5023,232,1481,12124,25420,114,113,2180,3260,50,1324,32461,27448,162,132,2643,3458,58,1415,35316,66413,100,65,6462,5860,17,2631,81548,55965,54,39,4615,4742,10,1977,67402,63890,85,46,6087,5573,13,2406,78100
20,JHARKHAND,67.63,12316,10071,338,105,349,1582,545,25306,10411,6502,319,79,242,1155,502,19210,4896,6243,340,77,301,1225,445,13527,26890,15322,363,100,376,2028,586,45665,26869,15216,363,75,165,2020,458,45166,25699,15139,372,117,379,2029,625,44360,1774,3552,326,61,264,858,338,7173,976,2066,311,36,264,676,325,4654,5507,3717,39,16,43,444,52,9818,7825,4622,58,28,87,555,95,13270,26063,13081,25,34,119,1335,158,40815,16050,10268,14,23,73,1096,73,27597,25725,12894,25,34,107,1322,141,40248
21,ODISHA,73.45,32025,17422,146,3796,58,1779,6997,62223,6906,5716,130,1963,53,827,5313,20908,21746,14504,142,2761,60,1612,5636,46461,35754,18514,150,3637,59,1885,6781,66780,34346,17956,144,3500,55,1798,5879,63678,36497,18755,157,3977,60,1921,7251,68618,5136,8044,145,1301,57,1242,5039,20964,1365,3654,124,371,50,920,3418,9902,12944,7360,37,1283,18,647,1669,23958,15123,8187,49,1497,24,748,2268,27896,34779,16272,7,3787,27,1388,6276,62536,23199,12750,4,2564,19,1102,3651,43289,32803,15602,7,3615,25,1331,5939,59322
